"journal_name","ISSN","JIF_2022","JCR_abbreviation","eISSN","category","total_citations","JIF_rank","JIF_5_year","JIF_5_year_quartile","JIF_without_self_cites","immediacy_index","journal_frequency"
"CLINICAL PSYCHOLOGY & PSYCHOTHERAPY","1063-3995",3.6,"CLIN PSYCHOL PSYCHOT","1099-0879","PSYCHOLOGY, CLINICAL - SSCI",4902," 42/131 ",3.6,"Q2",3.4,0.5,1
"CLINICAL PSYCHOLOGY REVIEW","0272-7358",12.8,"CLIN PSYCHOL REV","1873-7811","PSYCHOLOGY, CLINICAL - SSCI",22972," 2/131 ",16.3,"Q1",12.6,2.4,1
"CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE","0969-5893",5.8,"CLIN PSYCHOL-SCI PR","1468-2850","PSYCHOLOGY, CLINICAL - SSCI",4536," 15/131 ",7.8,"Q1",5.6,1.6,1
"CLINICAL RADIOLOGY","0009-9260",2.6,"CLIN RADIOL","1365-229X","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",8265," 73/135 ",2.6,"Q3",2.5,0.5,1
"CLINICAL REHABILITATION","0269-2155",3,"CLIN REHABIL","1477-0873","REHABILITATION - SCIE",8856," 16/68 ",3.9,"Q1",2.8,0.3,1
"CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY","1080-0549",9.1,"CLIN REV ALLERG IMMU","1559-0267","ALLERGY - SCIE",5688," 4/28 ",9.2,"Q1",9,2.5,2
"CLINICAL RHEUMATOLOGY","0770-3198",3.4,"CLIN RHEUMATOL","1434-9949","RHEUMATOLOGY - SCIE",13534," 21/34 ",3.1,"Q3",3.3,0.8,1
"CLINICAL SCIENCE","0143-5221",6,"CLIN SCI","1470-8736","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",13674," 34/136 ",6.6,"Q1",6,1.9,1
"CLINICAL SOCIAL WORK JOURNAL","0091-1674",2.8,"CLIN SOC WORK J","1573-3343","SOCIAL WORK - SSCI",1240," 10/44 ",2.6,"Q2",2.7,0.5,1
"CLINICAL SUPERVISOR","0732-5223",1.2,"CLIN SUPERV","1545-231X","HEALTH POLICY & SERVICES - ESCI",427," N/A ",1.6,NA,1.1,0.3,1
"CLINICAL THERAPEUTICS","0149-2918",3.2,"CLIN THER","1879-114X","PHARMACOLOGY & PHARMACY - SCIE",8719," 146/278 ",3.2,"Q3",3.1,1.1,1
"CLINICAL TOXICOLOGY","1556-3650",3.3,"CLIN TOXICOL","1556-9519","TOXICOLOGY - SCIE",4999," 36/94 ",3.4,"Q2",2.9,0.6,1
"CLINICAL TRANSPLANTATION","0902-0063",2.1,"CLIN TRANSPLANT","1399-0012","SURGERY - SCIE",6772," 106/213 ",2.4,"Q3",2,0.4,2
"CLINICS IN CHEST MEDICINE","0272-5231",5.7,"CLIN CHEST MED","1557-8216","RESPIRATORY SYSTEM - SCIE",3717," 17/66 ",4.6,"Q2",5.6,0.5,1
"CLINICS IN DERMATOLOGY","0738-081X",2.7,"CLIN DERMATOL","1879-1131","DERMATOLOGY - SCIE",4872," 29/70 ",3.5,"Q2",2.5,0.9,1
"CLINICS IN GERIATRIC MEDICINE","0749-0690",3.3,"CLIN GERIATR MED","1879-8853","GERIATRICS & GERONTOLOGY - SCIE",3779," 33/54 ",4.9,"Q2",3.3,0.7,1
"CLINICS IN LABORATORY MEDICINE","0272-2712",1.7,"CLIN LAB MED","1557-9832","MEDICAL LABORATORY TECHNOLOGY - SCIE",1702," 19/29 ",2.2,"Q3",1.6,0.6,1
"CLINICS IN PERINATOLOGY","0095-5108",2.1,"CLIN PERINATOL","1557-9840","OBSTETRICS & GYNECOLOGY - SCIE",3118," 57/85 ",3.7,"Q2",2.1,0.6,3
"CLINICS IN PLASTIC SURGERY","0094-1298",2.3,"CLIN PLAST SURG","1558-0504","SURGERY - SCIE",3086," 97/213 ",2.6,"Q2",2.3,0,1
"CLINICS IN SPORTS MEDICINE","0278-5919",2,"CLIN SPORT MED","1556-228X","SPORT SCIENCES - SCIE",2744," 60/87 ",2.7,"Q3",2,0.2,1
"CNS & Neurological Disorders-Drug Targets","1871-5273",3,"CNS NEUROL DISORD-DR","1996-3181","NEUROSCIENCES - SCIE",3879," 163/272 ",3.2,"Q3",2.9,2.3,2
"CNS DRUGS","1172-7047",6,"CNS DRUGS","1179-1934","CLINICAL NEUROLOGY - SCIE",6418," 28/212 ",6.2,"Q1",5.8,1.3,3
"CNS Neuroscience & Therapeutics","1755-5930",5.5,"CNS NEUROSCI THER","1755-5949","NEUROSCIENCES - SCIE",6792," 59/272 ",6.2,"Q1",4.8,0.8,2
"CNS SPECTRUMS","1092-8529",3.3,"CNS SPECTRUMS","2165-6509","CLINICAL NEUROLOGY - SCIE",3519," 96/212 ",3.8,"Q2",3.1,1.6,2
"COASTAL MANAGEMENT","0892-0753",2.5,"COAST MANAGE","1521-0421","ENVIRONMENTAL STUDIES - SSCI",1340," 89/128 ",2.6,"Q3",2.5,0.3,1
"COCHLEAR IMPLANTS INTERNATIONAL","1467-0100",1.6,"COCHLEAR IMPLANTS IN","1754-7628","OTORHINOLARYNGOLOGY - ESCI",1185," N/A ",NA,NA,1.5,0.3,2
"COGNITION & EMOTION","0269-9931",2.6,"COGNITION EMOTION","1464-0600","PSYCHOLOGY, EXPERIMENTAL - SSCI",11284," 30/89 ",3,"Q2",2.4,0.4,1
"COGNITION AND INSTRUCTION","0737-0008",3.3,"COGNITION INSTRUCT","1532-690X","PSYCHOLOGY, EDUCATIONAL - SSCI",2381," 16/60 ",4.4,"Q1",2.9,1.3,2
"COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE","1530-7026",2.9,"COGN AFFECT BEHAV NE","1531-135X","BEHAVIORAL SCIENCES - SCIE",5069," 17/52 ",3.3,"Q2",2.8,0.5,2
"COGNITIVE AND BEHAVIORAL PRACTICE","1077-7229",2.9,"COGN BEHAV PRACT","1878-187X","PSYCHOLOGY, CLINICAL - SSCI",2401," 60/131 ",3.2,"Q2",2.8,1.5,1
"COGNITIVE BEHAVIOUR THERAPY","1650-6073",4.7,"COGN BEHAV THERAPY","1651-2316","PSYCHOLOGY, CLINICAL - SSCI",2468," 24/131 ",5.7,"Q1",4.7,0.5,1
"COGNITIVE DEVELOPMENT","0885-2014",1.8,"COGNITIVE DEV","1879-226X","PSYCHOLOGY, DEVELOPMENTAL - SSCI",2987," 64/77 ",2.3,"Q3",1.7,0.3,2
"COGNITIVE LINGUISTICS","0936-5907",1.7,"COGN LINGUIST","1613-3641","LANGUAGE & LINGUISTICS - AHCI",1569," N/A ",2.2,NA,1.4,0.4,2
"COGNITIVE NEUROPSYCHOLOGY","0264-3294",3.4,"COGN NEUROPSYCHOL","1464-0627","PSYCHOLOGY - SCIE",2115," 22/81 ",3,"Q2",3,0.3,2
"COGNITIVE PSYCHOLOGY","0010-0285",2.6,"COGNITIVE PSYCHOL","1095-5623","PSYCHOLOGY - SCIE",8261," 36/81 ",3.8,"Q2",2.5,0.4,2
"COGNITIVE SCIENCE","0364-0213",2.5,"COGNITIVE SCI","1551-6709","PSYCHOLOGY, EXPERIMENTAL - SSCI",7614," 39/89 ",2.8,"Q2",2.3,0.6,1
"COGNITIVE THERAPY AND RESEARCH","0147-5916",2.8,"COGNITIVE THER RES","1573-2819","PSYCHOLOGY, CLINICAL - SSCI",6351," 62/131 ",3.2,"Q2",2.8,0.5,1
"COLLEGE & RESEARCH LIBRARIES","0010-0870",1.8,"COLL RES LIBR","2150-6701","INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI",1167," 53/84 ",1.9,"Q3",1.4,0.2,1
"COLLOIDS AND SURFACES B-BIOINTERFACES","0927-7765",5.8,"COLLOID SURFACE B","1873-4367","MATERIALS SCIENCE, BIOMATERIALS - SCIE",42388," 14/45 ",5.4,"Q2",5.6,1.2,1
"COLLOQUIA GERMANICA","0010-1338",0.1,"COLLOQ GERMANICA","0010-1338","LANGUAGE & LINGUISTICS - AHCI",38," N/A ",0.1,NA,0.1,0,1
"COLOPROCTOLOGY","0174-2442",0.4,"COLOPROCTOLOGY","1615-6730","GASTROENTEROLOGY & HEPATOLOGY - ESCI",111," N/A ",0.3,NA,0.2,0,1
"COLUMBIA JOURNAL OF LAW AND SOCIAL PROBLEMS","0010-1923",0.2,"COLUMBIA J LAW SOC P","0010-1923","LAW - SSCI",72," 145/154 ",0.4,"Q4",0.2,0.1,2
"COLUMBIA JOURNAL OF TRANSNATIONAL LAW","0010-1931",1,"COLUMBIA J TRANS LAW","2159-1814","INTERNATIONAL RELATIONS - SSCI",327," 80/96 ",0.8,"Q4",0.9,0.4,2
"COLUMBIA LAW REVIEW","0010-1958",2.9,"COLUMBIA LAW REV","1945-2268","LAW - SSCI",3433," 12/154 ",3.1,"Q1",2.7,1.7,1
"COMBINATORIAL CHEMISTRY & HIGH THROUGHPUT SCREENING","1386-2073",1.8,"COMB CHEM HIGH T SCR","1875-5402","PHARMACOLOGY & PHARMACY - SCIE",2229," 231/278 ",1.5,"Q4",1.7,1.4,1
"COMMON MARKET LAW REVIEW","0165-0750",2.3,"COMMON MKT LAW REV","1875-8320","INTERNATIONAL RELATIONS - SSCI",1318," 32/96 ",2.2,"Q2",1.6,0.6,2
"COMMONWEALTH & COMPARATIVE POLITICS","1466-2043",0.6,"COMMONW COMP POLIT","1743-9094","POLITICAL SCIENCE - ESCI",400," N/A ",0.9,NA,0.6,0.4,2
"COMMUNICATION EDUCATION","0363-4523",2.3,"COMMUN EDUC","1479-5795","COMMUNICATION - ESCI",1850," N/A ",3.2,NA,1.5,0.2,2
"COMMUNICATION MONOGRAPHS","0363-7751",2.5,"COMMUN MONOGR","1479-5787","COMMUNICATION - SSCI",4337," 50/96 ",6.8,"Q1",2.5,0.4,1
"COMMUNICATION QUARTERLY","0146-3373",1.7,"COMMUN Q","1746-4102","COMMUNICATION - ESCI",1304," N/A ",1.8,NA,1.6,0.2,1
"COMMUNICATION RESEARCH","0093-6502",6.2,"COMMUN RES","1552-3810","COMMUNICATION - SSCI",5937," 7/96 ",5.5,"Q1",6.2,1,1
"COMMUNICATION REVIEW","1071-4421",1.9,"COMMUN REV","1547-7487","COMMUNICATION - ESCI",412," N/A ",1.3,NA,1.8,0.5,1
"COMMUNICATION THEORY","1050-3293",3.7,"COMMUN THEOR","1468-2885","COMMUNICATION - SSCI",3427," 25/96 ",4,"Q2",3.6,0.4,1
"COMMUNIST AND POST-COMMUNIST STUDIES","0967-067X",0.9,"COMMUNIS POST-COMMUN","1873-6920","INTERNATIONAL RELATIONS - SSCI",801," 85/96 ",1,"Q4",0.9,1,3
"COMMUNITY DENTAL HEALTH","0265-539X",1.7,"COMMUNITY DENT HLTH","0265-539X","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE",1422," 76/91 ",1.4,"Q4",1.5,0.2,1
"COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY","0301-5661",2.3,"COMMUNITY DENT ORAL","1600-0528","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE",5414," 57/91 ",2.6,"Q3",2.1,0.4,2
"COMMUNITY MENTAL HEALTH JOURNAL","0010-3853",2.7,"COMMUNITY MENT HLT J","1573-2789","HEALTH POLICY & SERVICES - SSCI",4710," 46/87 ",2.6,"Q3",2.6,0.3,3
"COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY","1532-0456",3.9,"COMP BIOCHEM PHYS C","1878-1659","ENDOCRINOLOGY & METABOLISM - SCIE",8223," 64/145 ",3.8,"Q3",3.7,1,2
"COMPARATIVE EDUCATION","0305-0068",3.3,"COMP EDUC","1360-0486","EDUCATION & EDUCATIONAL RESEARCH - SSCI",1614," 77/269 ",3.1,"Q2",2.6,1.2,1
"COMPARATIVE EDUCATION REVIEW","0010-4086",1.8,"COMP EDUC REV","1545-701X","EDUCATION & EDUCATIONAL RESEARCH - SSCI",1330," 185/269 ",2.4,"Q3",1.7,0.4,1
"COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES","0147-9571",2,"COMP IMMUNOL MICROB","1878-1667","IMMUNOLOGY - SCIE",2597," 143/161 ",2.3,"Q4",2,0.3,1
"COMPARATIVE POLITICAL STUDIES","0010-4140",5,"COMP POLIT STUD","1552-3829","POLITICAL SCIENCE - SSCI",7214," 10/187 ",5.7,"Q1",4.8,0.8,2
"COMPARATIVE POLITICS","0010-4159",2.3,"COMP POLIT","2151-6227","POLITICAL SCIENCE - SSCI",2550," 69/187 ",2.7,"Q2",2.2,0.9,2
"COMPARATIVE SOCIOLOGY","1569-1322",0.6,"COMP SOCIOL","1569-1330","SOCIOLOGY - ESCI",585," N/A ",0.7,NA,0.5,0,1
"COMPARATIVE STUDIES IN SOCIETY AND HISTORY","0010-4175",0.7,"COMP STUD SOC HIST","1475-2999","ANTHROPOLOGY - SSCI",2079," 63/92 ",1.4,"Q2",0.6,0.2,2
"COMPLEMENTARY THERAPIES IN MEDICINE","0965-2299",3.6,"COMPLEMENT THER MED","1873-6963","INTEGRATIVE & COMPLEMENTARY MEDICINE - SCIE",5716," 10/28 ",3.4,"Q2",3.5,1.1,1
"COMPLEXITY","1076-2787",2.3,"COMPLEXITY","1099-0526","MULTIDISCIPLINARY SCIENCES - SCIE",12110," 39/73 ",2.3,"Q3",2.2,0.8,1
"COMPREHENSIVE PSYCHIATRY","0010-440X",7.3,"COMPR PSYCHIAT","1532-8384","PSYCHIATRY - SCIE",8741," 23/155 ",5.1,"Q2",7.2,0.8,2
"COMPTES RENDUS DE L ACADEMIE BULGARE DES SCIENCES","1310-1331",0.3,"CR ACAD BULG SCI",NA,"MULTIDISCIPLINARY SCIENCES - SCIE",890," 72/73 ",0.3,"Q4",0.2,0.1,1
"COMPUTATIONAL LINGUISTICS","0891-2017",9.3,"COMPUT LINGUIST","1530-9312","LANGUAGE & LINGUISTICS - AHCI",3123," N/A ",6.2,NA,9.3,NA,2
"COMPUTER APPLICATIONS IN ENGINEERING EDUCATION","1061-3773",2.9,"COMPUT APPL ENG EDUC","1099-0542","EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",1954," 20/43 ",2.2,"Q3",2.6,0.4,1
"COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING","1025-5842",1.6,"COMPUT METHOD BIOMEC","1476-8259","ENGINEERING, BIOMEDICAL - SCIE",4062," 84/96 ",1.9,"Q4",1.5,0.6,1
"COMPUTERIZED MEDICAL IMAGING AND GRAPHICS","0895-6111",5.7,"COMPUT MED IMAG GRAP","1879-0771","ENGINEERING, BIOMEDICAL - SCIE",4576," 25/96 ",6.4,"Q1",5.5,1.3,2
"COMPUTERS & EDUCATION","0360-1315",12,"COMPUT EDUC","1873-782X","EDUCATION & EDUCATIONAL RESEARCH - SSCI",28806," 1/269 ",12.6,"Q1",11.3,2.2,1
"COMPUTERS ENVIRONMENT AND URBAN SYSTEMS","0198-9715",6.8,"COMPUT ENVIRON URBAN","1873-7587","ENVIRONMENTAL STUDIES - SSCI",6901," 22/128 ",7,"Q1",6.3,1.2,2
"COMPUTERS IN BIOLOGY AND MEDICINE","0010-4825",7.7,"COMPUT BIOL MED","1879-0534","ENGINEERING, BIOMEDICAL - SCIE",21417," 16/96 ",6.9,"Q1",6.9,1.8,1
"COMPUTERS IN HUMAN BEHAVIOR","0747-5632",9.9,"COMPUT HUM BEHAV","1873-7692","PSYCHOLOGY, EXPERIMENTAL - SSCI",54607," 3/89 ",10.2,"Q1",9.5,1.5,2
"COMPUTERS IN THE SCHOOLS","0738-0569",0.9,"COMPUT SCH","1528-7033","EDUCATION & EDUCATIONAL RESEARCH - ESCI",476," N/A ",2,NA,0.8,0.2,1
"CONCEPTS IN MAGNETIC RESONANCE PART A","1546-6086",0.6,"CONCEPT MAGN RESON A","1552-5023","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",482," 132/135 ",0.9,"Q4",0.6,0.1,1
"CONFLICT MANAGEMENT AND PEACE SCIENCE","0738-8942",2.1,"CONFLICT MANAG PEACE","1549-9219","INTERNATIONAL RELATIONS - SSCI",1461," 37/96 ",2.5,"Q2",2,0.4,1
"CONGENITAL ANOMALIES","0914-3505",1.3,"CONGENIT ANOM","1741-4520","PEDIATRICS - SCIE",738," 108/130 ",1.4,"Q4",1.3,0.5,2
"CONNECTIVE TISSUE RESEARCH","0300-8207",2.9,"CONNECT TISSUE RES","1607-8438","ORTHOPEDICS - SCIE",2944," 25/86 ",3.6,"Q1",2.8,0.4,1
"CONSCIOUSNESS AND COGNITION","1053-8100",2.4,"CONSCIOUS COGN","1090-2376","PSYCHOLOGY, EXPERIMENTAL - SSCI",7461," 42/89 ",2.8,"Q2",2.2,0.6,1
"CONSERVATION GENETICS","1566-0621",2.2,"CONSERV GENET","1572-9737","GENETICS & HEREDITY - SCIE",4097," 116/171 ",2.2,"Q3",2.1,0.4,1
"CONTACT DERMATITIS","0105-1873",5.5,"CONTACT DERMATITIS","1600-0536","ALLERGY - SCIE",7341," 9/28 ",4.7,"Q2",3.8,1.4,2
"CONTEMPORARY ECONOMIC POLICY","1074-3529",1.5,"CONTEMP ECON POLICY","1465-7287","ECONOMICS - SSCI",1258," 251/380 ",1.4,"Q3",1.4,0.5,2
"CONTEMPORARY EDUCATIONAL PSYCHOLOGY","0361-476X",10.3,"CONTEMP EDUC PSYCHOL","1090-2384","PSYCHOLOGY, EDUCATIONAL - SSCI",8521," 1/60 ",8,"Q1",9.9,0.7,1
"CONTEMPORARY FAMILY THERAPY","0892-2764",1.3,"CONTEMP FAM THER","1573-3335","PSYCHOLOGY, CLINICAL - ESCI",845," N/A ",1.4,NA,1.2,0.3,1
"CONTEMPORARY PACIFIC","1043-898X",0.6,"CONTEMP PACIFIC","1527-9464","AREA STUDIES - SSCI",482," 64/84 ",0.7,"Q4",0.5,0.1,1
"CONTEMPORARY PSYCHOANALYSIS","0010-7530",0.5,"CONTEMP PSYCHOANAL","2330-9091","PSYCHIATRY - SSCI",458," 139/144 ",0.5,"Q4",0.5,0.1,2
"CONTEMPORARY SOCIOLOGY-A JOURNAL OF REVIEWS","0094-3061",0.2,"CONTEMP SOCIOL","1939-8638","SOCIOLOGY - SSCI",4106," 144/149 ",0.8,"Q4",0.2,0.1,1
"CONTINUITY AND CHANGE","0268-4160",0.9,"CONTINUITY CHANGE","1469-218X","SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI",302," 84/110 ",0.9,"Q4",0.9,0.1,1
"CONTRACEPTION","0010-7824",2.9,"CONTRACEPTION","1879-0518","OBSTETRICS & GYNECOLOGY - SCIE",7236," 36/85 ",2.9,"Q3",2.4,0.7,1
"CONTRIBUTIONS TO INDIAN SOCIOLOGY","0069-9667",0.6,"CONTRIB INDIAN SOC","0973-0648","SOCIOLOGY - SSCI",414," 131/149 ",0.8,"Q4",0.5,0.1,1
"COPD-Journal of Chronic Obstructive Pulmonary Disease","1541-2555",2.2,"COPD","1541-2563","RESPIRATORY SYSTEM - SCIE",2575," 56/66 ",2.3,"Q4",2.2,0.4,1
"COR ET VASA","0010-8650",0.2,"COR VASA","1803-7712","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI",258," N/A ",0.2,NA,0.1,0,1
"CORNEA","0277-3740",2.8,"CORNEA","1536-4798","OPHTHALMOLOGY - SCIE",13327," 26/62 ",2.8,"Q2",2.5,1.1,1
"CORNELL LAW REVIEW","0010-8847",2.5,"CORNELL LAW REV","0010-8847","LAW - SSCI",1409," 20/154 ",2.2,"Q1",2.4,1.6,1
"CORONARY ARTERY DISEASE","0954-6928",1.8,"CORONARY ARTERY DIS","1473-5830","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE",2111," 112/143 ",1.7,"Q4",1.8,0.5,1
"CORTEX","0010-9452",3.6,"CORTEX","1973-8102","BEHAVIORAL SCIENCES - SCIE",13866," 10/52 ",4.3,"Q1",3.4,1.1,3
"COUNSELING PSYCHOLOGIST","0011-0000",3.4,"COUNS PSYCHOL","1552-3861","PSYCHOLOGY, APPLIED - SSCI",4266," 35/83 ",3.8,"Q2",3.2,0.4,1
"COUNSELOR EDUCATION AND SUPERVISION","0011-0035",1.3,"COUNS EDUC SUPERV","1556-6978","PSYCHOLOGY, APPLIED - ESCI",618," N/A ",1.5,NA,0.8,0.2,1
"CPT-Pharmacometrics & Systems Pharmacology","2163-8306",3.5,"CPT-PHARMACOMET SYST","2163-8306","PHARMACOLOGY & PHARMACY - SCIE",2997," 120/278 ",4.1,"Q2",3.1,0.8,1
"CRANIO-The Journal of Craniomandibular & Sleep Practice","0886-9634",1.6,"CRANIO","2151-0903","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE",1706," 79/91 ",1.6,"Q4",1.4,0.8,1
"CREATIVITY RESEARCH JOURNAL","1040-0419",2.6,"CREATIVITY RES J","1532-6934","PSYCHOLOGY, EDUCATIONAL - SSCI",4090," 29/60 ",2.8,"Q3",2.4,0.4,2
"CRIME & DELINQUENCY","0011-1287",2.1,"CRIME DELINQUENCY","1552-387X","CRIMINOLOGY & PENOLOGY - SSCI",3315," 27/70 ",2.6,"Q2",1.9,0.3,1
"CRIME LAW AND SOCIAL CHANGE","0925-4994",1.1,"CRIME LAW SOCIAL CH","1573-0751","CRIMINOLOGY & PENOLOGY - SSCI",1384," 58/70 ",1.5,"Q4",1.1,0.1,2
"CRIMINAL JUSTICE AND BEHAVIOR","0093-8548",2.1,"CRIM JUSTICE BEHAV","1552-3594","CRIMINOLOGY & PENOLOGY - SSCI",4552," 27/70 ",2.5,"Q2",2,0.4,2
"CRIMINAL LAW JOURNAL","0314-1160",0.5,"CRIM LAW J","0314-1160","LAW - ESCI",155," N/A ",0.6,NA,0.2,0.1,1
"CRIMINOLOGY","0011-1384",5.8,"CRIMINOLOGY","1745-9125","CRIMINOLOGY & PENOLOGY - SSCI",7142," 3/70 ",6.7,"Q1",5.4,1.2,1
"CRISPR Journal","2573-1599",3.7,"CRISPR J","2573-1602","GENETICS & HEREDITY - SCIE",896," 60/171 ",4.3,"Q2",3.6,1.3,1
"CRITICAL ASIAN STUDIES","1467-2715",2.6,"CRIT ASIAN STUD","1472-6033","AREA STUDIES - SSCI",855," 7/84 ",2.5,"Q1",2.5,0.4,1
"CRITICAL CARE","1364-8535",15.1,"CRIT CARE","1466-609X","CRITICAL CARE MEDICINE - SCIE",36992," 4/35 ",12,"Q1",14.6,1.8,1
"CRITICAL CARE CLINICS","0749-0704",4.3,"CRIT CARE CLIN","1557-8232","CRITICAL CARE MEDICINE - SCIE",2621," 11/35 ",4.6,"Q2",4.3,0.4,1
"CRITICAL CARE MEDICINE","0090-3493",8.8,"CRIT CARE MED","1530-0293","CRITICAL CARE MEDICINE - SCIE",44150," 6/35 ",8.4,"Q1",8.3,4,1
"CRITICAL INQUIRY","0093-1896",1.7,"CRIT INQUIRY","1539-7858","CULTURAL STUDIES - AHCI",3575," N/A ",1.6,NA,1.7,0.5,2
"CRITICAL REVIEW","0891-3811",0.8,"CRIT REV","1933-8007","POLITICAL SCIENCE - SSCI",569," 160/187 ",0.9,"Q4",0.7,0.9,2
"CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES","1040-8363",10,"CRIT REV CL LAB SCI","1549-781X","MEDICAL LABORATORY TECHNOLOGY - SCIE",3162," 1/29 ",8.7,"Q1",10,1.4,1
"CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION","1045-4403",1.6,"CRIT REV EUKAR GENE","2162-6502","GENETICS & HEREDITY - SCIE",1319," 144/171 ",2.2,"Q3",1.6,0.3,1
"CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION","1040-8398",10.2,"CRIT REV FOOD SCI","1549-7852","NUTRITION & DIETETICS - SCIE",36261," 2/88 ",11.8,"Q1",9.7,1.8,1
"CRITICAL REVIEWS IN IMMUNOLOGY","1040-8401",1.3,"CRIT REV IMMUNOL","2162-6472","IMMUNOLOGY - SCIE",1667," 154/161 ",2.6,"Q4",1.3,0,1
"CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY","1040-8428",6.2,"CRIT REV ONCOL HEMAT","1879-0461","HEMATOLOGY - SCIE",11865," 19/79 ",6.2,"Q1",6,1.5,2
"CRITICAL REVIEWS IN THERAPEUTIC DRUG CARRIER SYSTEMS","0743-4863",2.7,"CRIT REV THER DRUG","2162-660X","PHARMACOLOGY & PHARMACY - SCIE",1339," 177/278 ",3.6,"Q2",2.2,0.8,1
"CRITICAL REVIEWS IN TOXICOLOGY","1040-8444",5.9,"CRIT REV TOXICOL","1547-6898","TOXICOLOGY - SCIE",4719," 10/94 ",6.2,"Q1",5.8,0.5,1
"CRITICAL SOCIAL POLICY","0261-0183",2.3,"CRIT SOC POLICY","1461-703X","SOCIAL ISSUES - SSCI",1566," 22/44 ",3,"Q2",2.1,0.3,2
"CRITICAL STUDIES IN MEDIA COMMUNICATION","1529-5036",1,"CRIT STUD MEDIA COMM","1479-5809","COMMUNICATION - SSCI",863," 85/96 ",1.7,"Q4",1,0.3,1
"CRITIQUE OF ANTHROPOLOGY","0308-275X",1.2,"CRIT ANTHROPOL","1460-3721","ANTHROPOLOGY - SSCI",800," 43/92 ",1.5,"Q2",1.1,0.6,1
"CROATIAN MEDICAL JOURNAL","0353-9504",1.9,"CROAT MED J","1332-8166","MEDICINE, GENERAL & INTERNAL - SCIE",2014," 115/169 ",1.9,"Q3",1.8,0.6,1
"CROSS-CULTURAL RESEARCH","1069-3971",2.5,"CROSS-CULT RES","1552-3578","SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI",998," 40/110 ",2.7,"Q2",2.3,0.4,1
"CRYPTOLOGIA","0161-1194",0.6,"CRYPTOLOGIA","1558-1586","HISTORY & PHILOSOPHY OF SCIENCE - SCIE",319," 31/62 ",0.7,"Q3",0.4,0.1,1
"CTS-Clinical and Translational Science","1752-8054",3.9,"CTS-CLIN TRANSL SCI","1752-8062","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",3778," 70/136 ",4,"Q3",3.8,0.5,1
"CUAJ-Canadian Urological Association Journal","1911-6470",1.9,"CUAJ-CAN UROL ASSOC","1920-1214","UROLOGY & NEPHROLOGY - SCIE",2536," 67/88 ",1.8,"Q4",1.7,0.7,1
"CUHSO-Cultura-Hombre-Sociedad","0716-1557",0.1,"CUHSO-CULT-HOMBRE-SO","0719-2789","SOCIAL ISSUES - ESCI",58," N/A ",0.3,NA,0.1,0,1
"CULTURAL ANTHROPOLOGY","0886-7356",1.9,"CULT ANTHROPOL","1548-1360","ANTHROPOLOGY - SSCI",2979," 25/92 ",3.8,"Q1",1.9,0.7,1
"CULTURAL CRITIQUE","0882-4371",0.2,"CULT CRIT","1460-2458","CULTURAL STUDIES - AHCI",533," N/A ",0.2,NA,0.2,0.1,2
"CULTURAL DYNAMICS","0921-3740",0.6,"CULT DYN","1461-7048","SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI",257," N/A ",0.8,NA,0.6,0.1,1
"CULTURAL GEOGRAPHIES","1474-4740",1.6,"CULT GEOGR","1477-0881","ENVIRONMENTAL STUDIES - SSCI",1513," 113/128 ",1.9,"Q4",1.4,0.1,1
"CULTURAL STUDIES","0950-2386",1.5,"CULT STUD","1466-4348","ANTHROPOLOGY - SSCI",2393," 36/92 ",1.6,"Q2",1.4,0.2,3
"CULTURE & PSYCHOLOGY","1354-067X",1.6,"CULT PSYCHOL","1461-7056","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI",1034," 101/147 ",1.5,"Q3",1.3,0.2,1
"CULTURE HEALTH & SEXUALITY","1369-1058",2.2,"CULT HEALTH SEX","1464-5351","FAMILY STUDIES - SSCI",3526," 22/46 ",2.5,"Q2",2.1,0.2,2
